parameter,parameter_label,parameter_group,parameter_unit,metric,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
rear_camber_deg,rear static camber,alignment,deg,handwheel_torque_max,-2.5,0.0,0.5,-2.108363109122217,-1.915912670053007,-1.815383222570518,0.2929798865516988,0.0976599621838996,15.291922806877885,15.291922806877885,-10.04484400971603,5.2470787971618575,increases_with_parameter,6
rear_camber_deg,rear static camber,alignment,deg,roadwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,-0.4160424293009097,-0.4125041854252861,-0.4098079317178426,0.0062344975830671,0.0020781658610223666,1.511378018295601,1.511378018295601,-0.8577473879387889,0.6536306303568119,increases_with_parameter,4
rear_camber_deg,rear static camber,alignment,deg,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,-1.7060916916269953,-1.6919195160863945,-1.6808964135043754,0.025195278122619902,0.0083984260408733,1.4891534664071666,1.4891534664071666,-0.837638871462555,0.6515145949446116,increases_with_parameter,5
rear_camber_deg,rear static camber,alignment,deg,sideslip_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,-0.18533585826252874,-0.18903935708124467,-0.1871313775005448,-0.0017955192380160467,-0.0005985064126720155,-0.9498123913129766,0.9498123913129766,1.9591152212416016,1.009302829928625,decreases_with_parameter,8
rear_camber_deg,rear static camber,alignment,deg,understeer_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,0.0185606734643994,0.021970533913641836,0.024644944754213916,0.006084271289814515,0.0020280904299381716,27.692869521194016,27.692869521194016,-15.52015286767884,12.172716653515174,increases_with_parameter,3
rear_camber_deg,rear static camber,alignment,deg,roll_gradient_velocity_slope_deg_per_g_per_mps,-2.5,0.0,0.5,0.0016564894810091886,0.001918762930248763,0.001863371828232981,0.0002068823472237925,6.896078240793083e-05,10.782069215657126,10.782069215657126,-13.668882440081923,-2.8868132244247957,increases_with_parameter,13
rear_camber_deg,rear static camber,alignment,deg,handwheel_torque_peak_abs,-2.5,0.0,0.5,18.84062224248072,18.78883108901611,18.75911068247134,-0.08151156000937831,-0.027170520003126104,-0.4338298621303254,0.4338298621303254,0.27564861922084416,-0.15818124290948127,decreases_with_parameter,12
sprung_mass_kg,sprung mass,mass properties,kg,metric_target_velocity_mps,144.576,160.64,176.704,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,9
sprung_mass_kg,sprung mass,mass properties,kg,metric_source_velocity_mps,144.576,160.64,176.704,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,flat_or_failed,9
sprung_mass_kg,sprung mass,mass properties,kg,ay_min,144.576,160.64,176.704,1.068797059579893,1.074217469796285,1.07829654241345,0.00949948283355706,0.0002956761340126076,0.8843165467564539,0.8843165467564539,-0.5045915160381701,0.3797250307182838,increases_with_parameter,7
