generated_tir,brand,model,size,rim_width_in,pressure_psi,use_mode,cornering_runs,drive_runs,longitudinal_combined_source,donor_tire_key,lateral_points,longitudinal_points,fx_combined_points,fy_combined_points,lateral_rmse_n,lateral_nrmse,longitudinal_rmse_n,longitudinal_nrmse,fx_combined_rmse_n,fx_combined_nrmse,fy_combined_rmse_n,fy_combined_nrmse,lateral_mu_nominal,donor_lateral_mu_nominal,donor_longitudinal_mu_nominal,longitudinal_mu_scale,longitudinal_stiffness_scale,fzmin_n,fzmax_n,fznom_n,sha256
Round_9_Goodyear_D0571_18p0x6p5_10_7in_12psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,7.0,12.0,4,"37,38","78,79",direct_drive_brake,,5000,5000,4500,4500,69.4175158088566,0.013478129546285423,154.90586807190354,0.030227086399146643,177.36348135345278,0.04135947274550356,103.19931498233994,0.0678314305344948,2.5201999971904714,nan,nan,1.0,1.0,196.08,1210.82,669.895,f13401be1716b51d0faaab453b5f26f9df5525b1e73a7742742bb7b6d6319168
Round_9_Goodyear_D0571_18p0x6p5_10_7in_14psi_MF52_UM4.tir,Goodyear,D0571,18.0x6.5-10,7.0,14.0,4,"37,38","78,79",direct_drive_brake,,5000,5000,4500,4500,55.67592996426954,0.011117101803350399,99.73621679758907,0.020962507928514815,129.73072491054344,0.03384220482846585,84.9969356138537,0.05999538768042317,2.399842009818831,nan,nan,1.0,1.0,199.52,1186.3808000000001,673.38,f99a04109c49b875a1c6d996e863e5f0ee10a5df7825bbda4bf5fbc7323cc363
Round_9_MRF_ZTD1_18x6p0_10_6in_8psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,6.0,8.0,4,"40,41","63,64",direct_drive_brake,,5000,5000,4500,4500,43.728776207915914,0.010948828059007626,87.70155695034757,0.023691754659445872,194.68378995743157,0.05856750955070785,71.79690530552126,0.0522830625836456,1.9809051728278813,nan,nan,1.0,1.0,193.51989999999998,1225.47685,669.345,cd6a260313122820eb499a8d71b795c235b6a1a4f30d6b95054fdaaf553b7664
Round_9_MRF_ZTD1_18x6p0_10_6in_10psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,6.0,10.0,4,"40,41","63,64",direct_drive_brake,,5000,5000,4500,4500,37.085692337744504,0.009710628753828832,81.10964754483932,0.022679192203658775,140.71746470080865,0.044672913019048605,61.49825917643716,0.047633632912005515,1.8914927629000027,nan,nan,1.0,1.0,193.9591,1211.857949999999,672.485,be9371973737951d3499fef7a0e594c729250b6d832bac1ee21c89df4e7622d5
Round_9_MRF_ZTD1_18x6p0_10_6in_12psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,6.0,12.0,4,"40,41","63,64",direct_drive_brake,,5000,5000,4500,4500,56.69580101585751,0.014663978248077669,95.78197525314815,0.025775766557089574,135.3095935754163,0.04235419196964997,68.1816668933819,0.05088178400798947,1.9321914484370803,nan,nan,1.0,1.0,192.80775,1197.96225,673.495,736b908fed08591ea2ee83c31b205c337ada419bca5f1d97a267c9b1f981e834
Round_9_MRF_ZTD1_18x6p0_10_6in_14psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,6.0,14.0,4,"40,41","63,64",direct_drive_brake,,5000,5000,4500,4500,38.757370266602116,0.010145282998025152,89.63337027882572,0.02407705719176004,119.48318265357017,0.03754294524653402,61.40558263318028,0.046077300500748895,1.8963398734854497,nan,nan,1.0,1.0,194.99,1189.3974,671.885,557def379cf7daaa38abec6235e3088b95238b4883454be630c86ce97235cad7
Round_9_MRF_ZTD1_18x6p0_10_7in_8psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,7.0,8.0,4,"43,44","66,67",direct_drive_brake,,5000,5000,4500,4500,36.15985726236867,0.009325319079422495,74.72960214431379,0.021308430160646343,130.5793831719603,0.04131423524545521,64.7945759979153,0.04618404528262497,1.9172665579509671,nan,nan,1.0,1.0,188.4282,1195.9457,672.6,f39d0327f4ab4a17f0d6921ab69e7d1e385839e27b897c517cd1cac176e5fc91
Round_9_MRF_ZTD1_18x6p0_10_7in_10psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,7.0,10.0,4,"43,44","66,67",direct_drive_brake,,5000,5000,4500,4500,31.782576641338817,0.008373210648959161,77.69770306154935,0.022267207819244923,111.42980078367616,0.03641335515491917,59.60982884373045,0.045288341803539085,1.9067584353415512,nan,nan,1.0,1.0,185.3146,1184.86385,670.5699999999999,c93c3a298ee09dafed674e98e9a0ba5858d71c833e347717252397a6eff9ba62
Round_9_MRF_ZTD1_18x6p0_10_7in_12psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,7.0,12.0,4,"43,44","66,67",direct_drive_brake,,5000,5000,4500,4500,35.020436987759744,0.009149662120612764,100.1722890057038,0.026463822244347093,125.98315643351755,0.04007287126428126,77.71360235841331,0.055710652355344,1.8937509827184213,nan,nan,1.0,1.0,185.40715,1178.4714,676.185,a136a60caad11688d9365c8245836621039c780c47d147ace8115491bbbe650b
Round_9_MRF_ZTD1_18x6p0_10_7in_14psi_MF52_UM4.tir,MRF,ZTD1,18x6.0-10,7.0,14.0,4,"43,44","66,67",direct_drive_brake,,5000,5000,4500,4500,32.92500881054015,0.0088123908232163,89.43043881503795,0.024147481393337115,103.331571512304,0.032459632307446126,63.96284407658915,0.04645572527307804,1.8638975304215217,nan,nan,1.0,1.0,181.93,1171.124,673.865,1980721b4418d9380d6afc092e4df3da7d288e28d60686450c6f96b659b12d6e
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_8psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,7.0,8.0,4,"17,18","51,52",direct_drive_brake,,5000,5000,4500,4500,75.96335669741862,0.013285671320862611,159.01844321813627,0.02419278396495591,174.89781717388638,0.03205592521471669,104.52339288117706,0.051126821599831666,2.726382592891323,nan,nan,1.0,1.0,196.156,1693.1773500000002,663.5350000000001,ae4366aae9d05aa3e964dda524e64c5b14c875948d248a37c3f3dc7ff963a765
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_10psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,7.0,10.0,4,"17,18","51,52",direct_drive_brake,,5000,5000,4500,4500,63.46080762458543,0.009859072308925488,113.65503591157966,0.017444875088806006,183.42592093176688,0.03271618138251581,92.69794221921127,0.04277647261124149,2.592363080975172,nan,nan,1.0,1.0,197.22050000000002,1661.2125500000002,675.3399999999999,142286685416f5a733e1de9f37d296e0c4878796b9753c3d811a073fb3dac7b9
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_12psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,7.0,12.0,4,"17,18","51,52",direct_drive_brake,,5000,5000,4500,4500,74.6676452844384,0.01175299751174544,172.3023021066461,0.027253324269045094,200.75254970390205,0.03683822658421897,103.85110093749293,0.049116167105519616,2.4370243344964564,nan,nan,1.0,1.0,191.7603,1651.5162999999995,672.745,8d5d64143edef2ecb2a4f00e7a5915e01acbac16fde487e7ee1d677eba304428
Round_9_Hoosier_43164_20p5x7p0_13_r20_7in_14psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,7.0,14.0,4,"17,18","51,52",direct_drive_brake,,5000,5000,4500,4500,62.21617347228622,0.009881651679783379,111.55028881254003,0.01830979882951201,139.6767497911497,0.027335665593571288,83.97285647907269,0.04072534749177963,2.41795409317588,nan,nan,1.0,1.0,189.3,1643.0724,676.9100000000001,7cfecfaf60647d588bdcc18f82c502bf2a06ed5efaf589671ae6a1ff5f30dd48
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_8psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,8.0,8.0,4,"20,21","54,55",direct_drive_brake,,5000,5000,4500,4500,66.97654895429731,0.010658874097903304,176.660084516684,0.025568931912393233,179.56138372298804,0.03314913705518968,98.90637793661179,0.046174628718118935,2.6009628507722304,nan,nan,1.0,1.0,191.52,1653.600300000001,669.72,7d7bf186840d8b0d9428983ac2f6d3e19128fe0950aab45e93093fa2a00eb34b
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_10psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,8.0,10.0,4,"20,21","54,55",direct_drive_brake,,5000,5000,4500,4500,66.58658352645956,0.01013891722509217,122.61729746985569,0.01877202032693241,186.3480456333697,0.0342214089861881,93.90813261202696,0.04400195326077168,2.55902372331956,nan,nan,1.0,1.0,192.2222,1640.51695,675.8599999999999,5a61fef038bc7893a3da7881661e2ac9739baadcaf3c94836882b65adc2d158f
Round_9_Hoosier_43164_20p5x7p0_13_r20_8in_12psi_MF52_UM4.tir,Hoosier,43164,20.5x7.0-13 R20,8.0,12.0,4,"20,21","54,55",direct_drive_brake,,5000,5000,4500,4500,76.30388218405469,0.011933580753670453,171.52609665100985,0.027821095668275366,199.47590555161264,0.037391684444223125,111.7510790751065,0.0526477085277188,2.430808795454136,nan,nan,1.0,1.0,191.0354,1627.3868000000004,675.2,1a3202be37bace66a7ccc3fd8cf069b9dc5400268e1622ee402117aa4bb4d3a1
