candidate_id,raw_endurance_time_s,terminal_energy_kwh,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points
molicel_p30b_130s4p,1321.4091707482885,4.789634681726958,True,True,True,0.5706794191894173,51.53465185436647,51.53465185436647
tenpower_30xg_125s4p,1328.796418619292,4.671195799857427,True,True,True,0.5818960327966594,53.635103933212754,53.635103933212754
tenpower_60xg_125s2p,1329.8736466213377,4.547578446025633,True,True,True,0.5972296185349353,56.50651086295976,56.50651086295976
ampace_jp30_125s4p,1330.3741161878686,4.668845220359144,True,True,True,0.5814985735578538,53.56067468802001,53.56067468802001
molicel_p30b_125s4p,1333.3739751349626,4.592571517997937,True,True,True,0.5898261384062907,55.12011602299948,55.12011602299948
tenpower_30xg_120s4p,1341.7801200324711,4.471533343557092,True,True,True,0.6019966720192317,57.39920162968073,57.39920162968073
ampace_jp30_120s4p,1343.39735997748,4.469205375512552,True,True,True,0.6015851593881771,57.3221407099026,57.3221407099026
tenpower_60xg_120s2p,1345.104024555239,4.35418845131733,True,True,True,0.6166927223391879,60.15122202783829,60.15122202783829
molicel_p30b_120s4p,1348.1129969192689,4.392808608676527,True,True,True,0.6099066091069169,58.88043690987657,58.88043690987657
reliance_rs50_140s2p,1350.871298938492,4.297581591298359,True,True,True,0.6221481465867815,61.17281888434834,61.17281888434834
ampace_jp50_140s2p,1353.0494325012146,4.295754472590802,True,True,True,0.6214108080686143,61.034742966114166,61.034742966114166
tenpower_50xg_140s2p,1353.9819397974193,4.299661643908801,True,True,True,0.6204185362617044,60.84892758077731,60.84892758077731
tenpower_30xg_115s4p,1357.447172695057,4.268061325226409,True,True,True,0.6234165519291945,61.41034374983635,61.41034374983635
molicel_p50b_140s2p,1358.6581766606464,4.215708573104756,True,True,True,0.6305958803551265,62.754763362118666,62.754763362118666
tenpower_60xg_115s2p,1359.0521013744742,4.157936455368768,True,True,True,0.6391723252725119,64.36081062260394,64.36081062260394
ampace_jp30_115s4p,1359.1667441171992,4.2628484001941445,True,True,True,0.6233892217339962,61.4052258267867,61.4052258267867
molicel_p30b_115s4p,1362.4994687139429,4.192888404254951,True,True,True,0.6322404408819691,63.062728020468384,63.062728020468384
reliance_rs50_135s2p,1363.173665434057,4.124958635383276,True,True,True,0.6423343267057935,64.95293519035788,64.95293519035788
ampace_jp50_135s2p,1364.9036481910553,4.129776545384846,True,True,True,0.6407717683464061,64.66032647000625,64.66032647000625
tenpower_50xg_135s2p,1365.8612142659745,4.132879080593119,True,True,True,0.6398418541802353,64.48618833777881,64.48618833777881
molicel_p50b_135s2p,1370.2845149108516,4.055759904952378,True,True,True,0.649903580380198,66.37037321331454,66.37037321331454
tenpower_30xg_110s4p,1372.0124565822057,4.062285521387442,True,True,True,0.6480423939537253,66.02184262863959,66.02184262863959
ampace_jp30_110s4p,1373.3633883130929,4.057784344483023,True,True,True,0.6481230829070557,66.03695265076367,66.03695265076367
