candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
ampace_jp30_120s5p,65.62354638716036,0.1386194692939147,0.8473935778400526,100.0,0.8473935778400526,100.0,640.9552318549466,34
molicel_p50b_120s3p,65.77330571434442,0.1341955194868876,0.8733360973005322,100.0,0.8733360973005322,100.0,641.1009546883412,33
molicel_p30b_120s5p,65.78931094449783,0.1358646801338013,0.8623969029928426,100.0,0.8623969029928426,100.0,637.5743645255643,36
reliance_rs50_115s3p,65.92394195514984,0.1312714765550884,0.8907494401675522,100.0,0.8907494401675522,100.0,634.3857481138664,41
ampace_jp50_115s3p,66.04000137783474,0.1313333329972108,0.8887652322020809,100.0,0.8887652322020809,100.0,631.8302021398808,43
tenpower_30xg_115s5p,66.09872888272245,0.132579216000457,0.8796310322514961,100.0,0.8796310322514961,100.0,636.9235724166501,38
tenpower_50xg_115s3p,66.11884381290226,0.1312855512382673,0.888028520257926,100.0,0.888028520257926,100.0,630.1949918192694,47
ampace_jp30_115s5p,66.1828556141649,0.1325617412969316,0.8786287189237986,100.0,0.8786287189237986,100.0,635.0526882498301,39
molicel_p30b_115s5p,66.34561076944267,0.1300374356622188,0.893487546235801,100.0,0.893487546235801,100.0,631.0303700930787,44
molicel_p50b_115s3p,66.35415999312328,0.1285422355730401,0.9037641130987628,100.0,0.9037641130987628,100.0,634.4018238939127,40
tenpower_30xg_140s4p,66.49878623111141,0.1290027966574668,0.8985789750300479,100.0,0.8985789750300479,100.0,632.8155059636704,42
tenpower_60xg_140s2p,66.5271441575458,0.1252016058181002,0.925465677583606,100.0,0.925465677583606,100.0,620.2316835532284,59
reliance_rs50_110s3p,66.55908672417434,0.1252274377562408,0.9248307210277392,100.0,0.9248307210277392,100.0,626.3347941270484,51
ampace_jp30_140s4p,66.58474168086417,0.128967828417391,0.8976623086548784,100.0,0.8976623086548784,100.0,630.6723052978518,45
ampace_jp50_110s3p,66.67666488092867,0.1252085210417014,0.9233393458328394,100.0,0.9233393458328394,100.0,623.8304545143602,55
tenpower_50xg_110s3p,66.7314079375207,0.1253478990219694,0.921556039473794,100.0,0.921556039473794,100.0,622.5145229357423,56
tenpower_30xg_110s5p,66.74177871344085,0.126350326550089,0.9141026148141284,100.0,0.9141026148141284,100.0,630.2411912903788,46
molicel_p30b_140s4p,66.7510850030935,0.1264351210081008,0.913362209806854,100.0,0.913362209806854,100.0,626.2813754747883,52
ampace_jp30_110s5p,66.80230103809133,0.1265057529424835,0.9121523862428932,100.0,0.9121523862428932,100.0,628.2252314445245,48
molicel_p30b_110s5p,66.93456402547086,0.1241996221428388,0.9272532903622408,100.0,0.9272532903622408,100.0,624.0922146237162,54
molicel_p50b_110s3p,66.97417629502932,0.1225494453288583,0.9391833089137814,100.0,0.9391833089137814,100.0,627.2609123486449,50
tenpower_30xg_135s4p,66.978153361472,0.1240839429184778,0.927513718570007,100.0,0.927513718570007,100.0,627.9528076869649,49
tenpower_60xg_135s2p,67.04139553005162,0.1204518340681633,0.9545806649714949,100.0,0.9545806649714949,100.0,613.2808312898024,63
ampace_jp30_135s4p,67.06936423189946,0.1239874335249716,0.9269733245432088,100.0,0.9269733245432088,100.0,625.3655969353041,53
molicel_p30b_135s4p,67.21982147286677,0.1218774670318286,0.9409105155511012,100.0,0.9409105155511012,100.0,620.7670402933677,58
tenpower_30xg_130s4p,67.54656983213935,0.1190240129366154,0.95880702777452,100.0,0.95880702777452,100.0,621.9778820538941,57
tenpower_60xg_130s2p,67.56295896066882,0.1159449724918635,0.984030395069487,100.0,0.984030395069487,100.0,606.1899825436521,67
ampace_jp30_130s4p,67.60448308145692,0.1191529184094446,0.9569492716993208,100.0,0.9569492716993208,100.0,619.499075324875,60
molicel_p30b_130s4p,67.75696488614639,0.1170354877874754,0.9720700963127528,100.0,0.9720700963127528,100.0,614.4653190099799,62
tenpower_30xg_125s4p,68.13575557844756,0.1141414148082799,0.9911759801117191,100.0,0.9911759801117191,100.0,615.650779504298,61
tenpower_60xg_125s2p,68.19099183798376,0.1111208050402955,1.017294532251898,100.0,1.017294532251898,100.0,597.8601674114124,71
ampace_jp30_125s4p,68.21665406252154,0.1140839780231291,0.9904989656136411,100.0,0.9904989656136411,100.0,612.7964321572776,64
molicel_p30b_125s4p,68.37047571128953,0.1122202179340232,1.0046837714644787,100.0,1.0046837714644787,100.0,607.3109226971601,66
tenpower_30xg_120s4p,68.8015116668867,0.1092626308260473,1.0254145204340372,100.0,1.0254145204340372,100.0,608.522764728704,65
ampace_jp30_120s4p,68.8844377374727,0.1092057465553772,1.0247135680088182,100.0,1.0247135680088182,100.0,605.5190258372614,68
tenpower_60xg_120s2p,68.97194917180167,0.1063952896580362,1.0504471229242898,100.0,1.0504471229242898,100.0,587.8406139148445,81
molicel_p30b_120s4p,69.12623812281409,0.1073389793661901,1.038887957618044,100.0,1.038887957618044,100.0,598.6262283299623,70
reliance_rs50_140s2p,69.26767362757607,0.1050120920000367,1.059739651435862,100.0,1.059739651435862,100.0,592.6335895828197,74
