candidate_id,raw_endurance_time_s,terminal_energy_kwh,cohort_efficiency_energy_eligible,cohort_efficiency_time_eligible,cohort_efficiency_eligible,cohort_efficiency_factor,cohort_efficiency_unclipped_points,cohort_efficiency_points
ampace_jp50_115s3p,1254.9109131663056,5.2724065380323655,True,True,True,0.5242563907724072,42.3320630457163,42.3320630457163
tenpower_30xg_115s5p,1255.0619475928356,5.343916146430643,True,True,True,0.5171788095198583,41.05132061292774,41.05132061292774
tenpower_50xg_115s3p,1256.364605573639,5.270301565209813,True,True,True,0.5238589405032621,42.260141381173916,42.260141381173916
ampace_jp30_115s5p,1256.6004424729954,5.344796778938332,True,True,True,0.5164605031150873,40.92133757783327,40.92133757783327
molicel_p30b_115s5p,1261.7026602192705,5.199927992631016,True,True,True,0.5287022649101384,43.13657795778164,43.13657795778164
molicel_p50b_115s3p,1263.6136877678248,5.102261226278928,True,True,True,0.5380077202958481,44.82047124612888,44.82047124612888
tenpower_30xg_140s4p,1261.7556174558383,5.199945960913441,True,True,True,0.5286782478683222,43.13223189046479,43.13223189046479
tenpower_60xg_140s2p,1265.2261925634648,4.986579774825684,True,True,True,0.5497871360932426,46.95204658336008,46.95204658336008
reliance_rs50_110s3p,1263.4678266022838,5.032181669820048,True,True,True,0.5455631402214521,46.187682239683,46.187682239683
ampace_jp30_140s4p,1263.344587143553,5.198730577418324,True,True,True,0.5281367450392901,43.034242813989444,43.034242813989444
ampace_jp50_110s3p,1265.8755625595986,5.028407311473891,True,True,True,0.5449341863052333,46.07386822045432,46.07386822045432
tenpower_50xg_110s3p,1267.2491735697204,5.027679938726483,True,True,True,0.5444222672555297,45.981232555004055,45.981232555004055
tenpower_30xg_110s5p,1265.9179123705112,5.097698144003747,True,True,True,0.5375091464266362,44.73025049310689,44.73025049310689
molicel_p30b_140s4p,1268.4089068021613,5.059375669369178,True,True,True,0.5405169387060704,45.274533499380816,45.274533499380816
ampace_jp30_110s5p,1267.056989871629,5.105109405742977,True,True,True,0.5362463096723072,44.50173052855381,44.50173052855381
molicel_p30b_110s5p,1271.9765205900371,4.96088756732201,True,True,True,0.5497016495171576,46.936577133908486,46.936577133908486
molicel_p50b_110s3p,1273.5858457030831,4.879666027403875,True,True,True,0.5581452027523117,48.464502639232286,48.464502639232286
tenpower_30xg_135s4p,1270.4551890976609,5.000646636161496,True,True,True,0.5459841070172916,46.26385939950472,46.26385939950472
tenpower_60xg_135s2p,1274.266992332757,4.803891981505195,True,True,True,0.5666460324008987,50.002792749420934,50.002792749420934
ampace_jp30_135s4p,1271.9402429540887,4.9998367898524005,True,True,True,0.5454349755386725,46.16448986056877,46.16448986056877
molicel_p30b_135s4p,1277.0230737183974,4.873841958760738,True,True,True,0.5573080708780267,48.31301722705839,48.31301722705839
tenpower_30xg_130s4p,1279.7552138876815,4.805235893257239,True,True,True,0.5640581767621353,49.53450048851586,49.53450048851586
tenpower_60xg_130s2p,1283.983544176625,4.620876909557337,True,True,True,0.5846307597244769,53.25726664431873,53.25726664431873
ampace_jp30_130s4p,1281.2522908097658,4.803164460981663,True,True,True,0.5636420777987035,49.45920420018083,49.45920420018083
molicel_p30b_130s4p,1286.2915831395203,4.687023801296093,True,True,True,0.575345780687381,51.57707870778626,51.57707870778626
tenpower_30xg_125s4p,1289.8671336692155,4.613806463064552,True,True,True,0.5828558628599031,52.9360854883321,52.9360854883321
tenpower_60xg_125s2p,1294.2716372502414,4.43696613849996,True,True,True,0.604023688221011,56.76656530657021,56.76656530657021
ampace_jp30_125s4p,1291.8590868569304,4.606643155932232,True,True,True,0.5828620817675539,52.937210847212455,52.937210847212455
molicel_p30b_125s4p,1297.0874309467754,4.496099884190615,True,True,True,0.5947854246651307,55.094830893483945,55.094830893483945
tenpower_30xg_120s4p,1300.73875817613,4.413217157036099,True,True,True,0.6042548435314947,56.80839462708761,56.80839462708761
ampace_jp30_120s4p,1302.3124816039146,4.408653659364672,True,True,True,0.6041493798906882,56.78931017505837,56.78931017505837
tenpower_60xg_120s2p,1305.3597152790214,4.249732270303843,True,True,True,0.6252788555122987,60.61285031476674,60.61285031476674
molicel_p30b_120s4p,1307.6695000800091,4.3000306144191045,True,True,True,0.6168733058440011,59.09180184538696,59.09180184538696
reliance_rs50_140s2p,1308.0647159613304,4.225795774569916,True,True,True,0.6275203059333927,61.01845790341196,61.01845790341196
ampace_jp50_140s2p,1310.2333090686686,4.222647466329875,True,True,True,0.626948774890477,60.915034992081274,60.915034992081274
tenpower_50xg_140s2p,1311.15112549299,4.226480375770077,True,True,True,0.6259417365193327,60.7328037004368,60.7328037004368
tenpower_30xg_115s4p,1312.703331886886,4.215730828046271,True,True,True,0.626795771687427,60.88734789284406,60.88734789284406
molicel_p50b_140s2p,1317.859145975112,4.110677642332629,True,True,True,0.6402994126480546,63.33093495434041,63.33093495434041
tenpower_60xg_115s2p,1317.4610903773064,4.0591029980372975,True,True,True,0.6486309238811098,64.83858560287031,64.83858560287031
ampace_jp30_115s4p,1314.3457534648496,4.211129083525429,True,True,True,0.6266966005978227,60.8694021260588,60.8694021260588
molicel_p30b_115s4p,1319.5084280495334,4.110389960340969,True,True,True,0.639543846474654,63.19420947927712,63.19420947927712
reliance_rs50_135s2p,1318.409905010128,4.059193436937641,True,True,True,0.6481496852243775,64.75150178906694,64.75150178906694
ampace_jp50_135s2p,1320.3717864395217,4.059263505730503,True,True,True,0.6471754571906064,64.57520777879141,64.57520777879141
tenpower_50xg_135s2p,1321.2704407431606,4.061907769619073,True,True,True,0.6463142660085088,64.4193686509455,64.4193686509455
