candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,pack_mass_kg,vehicle_mass_kg,simulation_mode,simulation_mode_short,event_slug,event_name,raw_simulated_time_s,cohort_tmin_s,tmax_s,points,maximum_points,point_loss_vs_event_max,is_cohort_fastest,time_rank
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.252826585744518,4.205352467457964,6.308028701186947,96.80181295548485,100.0,3.1981870445151515,False,119
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.799389892434655,4.758553193051323,5.948191491314154,71.63452360255769,75.0,3.3654763974423076,False,119
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.228071626686514,51.70409358243788,74.97093569453492,121.16925769997776,125.0,3.830742300022237,False,119
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,37.8,260.68515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1224.5565037342585,1216.0261253241367,1763.2378817199983,269.38842250373125,275.0,5.611577496268751,False,8
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.312557611493355,4.250933535449968,6.376400303174952,95.90607259613711,100.0,4.093927403862892,False,52
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.796605003337477,4.758553193051323,5.948191491314154,71.86130703995367,75.0,3.1386929600463276,False,112
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.24204567258141,51.88432241379922,75.23226750000886,122.3854265744544,125.0,2.6145734255456006,False,105
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.249521856560609,4.205352467457964,6.308028701186947,97.02212851114747,100.0,2.9778714888525286,False,112
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.796605003337477,4.758553193051323,5.948191491314154,71.86130703995367,75.0,3.1386929600463276,False,112
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.19229084544618,51.70409358243788,74.97093569453492,121.4283999564097,125.0,3.571600043590294,False,112
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,36.45,259.33515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1226.6641530826705,1216.0261253241367,1763.2378817199983,268.013962020896,275.0,6.986037979104026,False,10
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.310193430836436,4.250933535449968,6.376400303174952,96.06097491895432,100.0,3.939025081045685,False,48
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.802628618497106,4.758553193051323,5.948191491314154,71.37127863424405,75.0,3.6287213657559505,False,125
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.31043054751619,51.88432241379922,75.23226750000886,121.88967788346136,125.0,3.11032211653864,False,123
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.256681932917804,4.205352467457964,6.308028701186947,96.54522182159766,100.0,3.4547781784023357,False,125
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.802628618497106,4.758553193051323,5.948191491314154,71.37127863424405,75.0,3.6287213657559505,False,125
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.26969162165052,51.70409358243788,74.97093569453492,120.86827130715443,125.0,4.13172869284557,False,125
tenpower_50xg_140s3p,tenpower_50xg,Tenpower,INR21700-50XG,140,3,39.375,262.26015114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1226.1911480502984,1216.0261253241367,1763.2378817199983,268.32201138262326,275.0,6.677988617376741,False,9
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.3670172354945365,4.250933535449968,6.376400303174952,92.38428010028163,100.0,7.615719899718371,False,85
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.788981218621004,4.758553193051323,5.948191491314154,72.484164284165,75.0,2.5158357158349958,False,89
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.218588265018994,51.88432241379922,75.23226750000886,122.55577757975786,125.0,2.4442224202421414,False,93
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.240524824427334,4.205352467457964,6.308028701186947,97.62367143480046,100.0,2.376328565199543,False,89
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.788981218621004,4.758553193051323,5.948191491314154,72.484164284165,75.0,2.5158357158349958,False,89
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.09437832249883,51.70409358243788,74.97093569453492,122.139351153707,125.0,2.860648846293003,False,89
tenpower_60xg_115s3p,tenpower_60xg,Tenpower,INR21700-60XG,115,3,32.775,255.66015114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1228.2307628017934,1216.0261253241367,1763.2378817199983,266.99538570322045,275.0,8.00461429677955,False,13
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.305836003141828,4.250933535449968,6.376400303174952,96.34692148464534,100.0,3.6530785153546645,False,44
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.791360749452055,4.758553193051323,5.948191491314154,72.28943927358559,75.0,2.710560726414414,False,98
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.174170338048405,51.88432241379922,75.23226750000886,122.87876647853264,125.0,2.12123352146736,False,72
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.243325070291728,4.205352467457964,6.308028701186947,97.4361731586298,100.0,2.563826841370201,False,98
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.791360749452055,4.758553193051323,5.948191491314154,72.28943927358559,75.0,2.710560726414414,False,98
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.12493283892111,51.70409358243788,74.97093569453492,121.91720550322644,125.0,3.082794496773559,False,98
reliance_rs50_135s3p,reliance_rs50,Reliance,INR21700-RS50,135,3,33.91875,256.80390114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1227.6506667068245,1216.0261253241367,1763.2378817199983,267.3722487629734,275.0,7.627751237026587,False,11
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.382249579980233,4.250933535449968,6.376400303174952,91.4149009381409,100.0,8.585099061859097,False,91
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.78600771265941,4.758553193051323,5.948191491314154,72.72790463730526,75.0,2.272095362694742,False,79
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,pack_aware_full_soc_80kw_terminal,pack_aware,autocross,Autocross,52.20609071311092,51.88432241379922,75.23226750000886,122.64659907284859,125.0,2.3534009271514122,False,88
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,mass_isolated_common_80kw_curve,mass_isolated,acceleration,Acceleration,4.237035725468326,4.205352467457964,6.308028701186947,97.85764057512986,100.0,2.1423594248701363,False,79
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,mass_isolated_common_80kw_curve,mass_isolated,skidpad,Skidpad,4.78600771265941,4.758553193051323,5.948191491314154,72.72790463730526,75.0,2.272095362694742,False,79
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,mass_isolated_common_80kw_curve,mass_isolated,autocross,Autocross,52.05620304043549,51.70409358243788,74.97093569453492,122.4172697931697,125.0,2.5827302068303055,False,79
tenpower_60xg_110s3p,tenpower_60xg,Tenpower,INR21700-60XG,110,3,31.35,254.23515114,shared_chronological_endurance,shared_endurance,endurance,Endurance,1232.1464611352658,1216.0261253241367,1763.2378817199983,264.4608096685914,275.0,10.539190331408577,False,16
molicel_p50b_135s3p,molicel_p50b,Molicel,INR-21700-P50B,135,3,35.94375,258.82890114,pack_aware_full_soc_80kw_terminal,pack_aware,acceleration,Acceleration,4.2603683751382775,4.250933535449968,6.376400303174952,99.36552867435718,100.0,0.6344713256428207,False,9
molicel_p50b_135s3p,molicel_p50b,Molicel,INR-21700-P50B,135,3,35.94375,258.82890114,pack_aware_full_soc_80kw_terminal,pack_aware,skidpad,Skidpad,4.795558530937689,4.758553193051323,5.948191491314154,71.94662715774481,75.0,3.053372842255186,False,110
