candidate_id,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points,inherited_competition_efficiency_factor,inherited_competition_efficiency_points,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency,pack_aware_cohort_full_dynamic_points_with_inherited_efficiency_rank
tenpower_30xg_135s4p,66.674943202815,0.1253792436460121,0.9221058910998902,100.0,0.9221058910998902,100.0,636.5022942749629,49
tenpower_60xg_135s2p,66.87499100173096,0.1204460916799745,0.9570015645688013,100.0,0.9570015645688013,100.0,620.2431249360857,64
ampace_jp30_135s4p,66.75288052982988,0.1253589386884553,0.921178469651326,100.0,0.921178469651326,100.0,634.0518041939997,51
molicel_p30b_135s4p,67.01963330901332,0.1221999199104947,0.9412307953825988,100.0,0.9412307953825988,100.0,628.0922679095586,59
tenpower_30xg_130s4p,67.16301915384467,0.1204797870500452,0.9526309667818876,100.0,0.9526309667818876,100.0,631.340693125807,55
tenpower_60xg_130s2p,67.38492676953813,0.1158574268599671,0.9873757509265212,100.0,0.9873757509265212,100.0,613.2155009519988,68
ampace_jp30_130s4p,67.24158746511357,0.1204278508444158,0.9519282223237068,100.0,0.9519282223237068,100.0,628.6152012829913,58
molicel_p30b_130s4p,67.50605529739296,0.1175159018251379,0.9716944632135548,100.0,0.9716944632135548,100.0,622.2862264419314,63
tenpower_30xg_125s4p,67.69370428378149,0.1156801523396891,0.9843781492859548,100.0,0.9843781492859548,100.0,625.5508959239235,61
tenpower_60xg_125s2p,67.92485767559067,0.1112463045289502,1.0201282310491095,100.0,1.0201282310491095,100.0,605.7829970788682,73
ampace_jp30_125s4p,67.79824426818494,0.1155005495611685,0.9843886523231448,100.0,0.9843886523231448,100.0,622.414430340636,62
molicel_p30b_125s4p,68.07263375332906,0.1127289416453254,1.0045258405419062,100.0,1.0045258405419062,100.0,615.5567987778677,67
tenpower_30xg_120s4p,68.26425958769244,0.1106508556700426,1.0205186264302508,100.0,1.0205186264302508,100.0,619.3283560945013,65
ampace_jp30_120s4p,68.34685039535327,0.110536436890222,1.020340510175154,100.0,1.020340510175154,100.0,616.3081721475446,66
tenpower_60xg_120s2p,68.50677270820381,0.1065518634921474,1.056025823531576,100.0,1.056025823531576,100.0,597.8145423254167,81
molicel_p30b_120s4p,68.62799285964098,0.1078129740645711,1.0418297933404912,100.0,1.0418297933404912,100.0,608.9273322393816,71
reliance_rs50_140s2p,68.64873424167955,0.1059517131617974,1.0598113817764678,100.0,1.0598113817764678,100.0,604.2168942998455,75
ampace_jp50_140s2p,68.76254449134643,0.1058727768692295,1.058846129977293,100.0,1.058846129977293,100.0,601.9690173457324,77
tenpower_50xg_140s2p,68.81071254834474,0.1059688778980646,1.057145355169637,100.0,1.057145355169637,100.0,600.8429521843959,80
tenpower_30xg_115s4p,68.89217411742656,0.1056993587216043,1.058587724736049,100.0,1.058587724736049,100.0,612.4903398533778,69
molicel_p50b_140s2p,69.16275714502702,0.1030654015705165,1.0813938590558123,100.0,1.0813938590558123,100.0,607.1174705953483,72
tenpower_60xg_115s2p,69.14186673141542,0.101772290826338,1.0954648466377306,100.0,1.0954648466377306,100.0,589.1833465284765,90
ampace_jp30_115s4p,68.97837028267942,0.1055839809935914,1.0584202358938362,100.0,1.0584202358938362,100.0,609.288469133649,70
molicel_p30b_115s4p,69.24931335699037,0.1030581886332408,1.0801177925720924,100.0,1.0801177925720924,100.0,601.5459547349158,78
reliance_rs50_135s2p,69.19166160989384,0.1017745583652677,1.0946520885469833,100.0,1.0946520885469833,100.0,597.2823207656131,82
ampace_jp50_135s2p,69.29462339398351,0.1017763151725151,1.0930067267174557,100.0,1.0930067267174557,100.0,595.198337260046,83
tenpower_50xg_135s2p,69.34178580094462,0.1018426137595722,1.0915522714463788,100.0,1.0915522714463788,100.0,594.108095059825,85
molicel_p50b_135s2p,69.688607380535,0.0993036801764942,1.1138891331370868,100.0,1.1138891331370868,100.0,601.0501343644163,79
tenpower_30xg_110s4p,69.5817162212656,0.1004510316473821,1.1028579011529558,100.0,1.1028579011529558,100.0,605.0077014379766,74
ampace_jp30_110s4p,69.63277120493649,0.1005588541983855,1.100867628078218,100.0,1.100867628078218,100.0,602.0213433922904,76
tenpower_60xg_110s2p,69.87301800460375,0.0972441144080782,1.1344784980239888,100.0,1.1344784980239888,100.0,579.4364444605659,99
reliance_rs50_130s2p,69.81488561502424,0.0978109186642614,1.1288434774030554,100.0,1.1288434774030554,100.0,589.4436506364725,89
molicel_p30b_110s4p,69.93946665164542,0.0983911336828632,1.1201877418630983,100.0,1.1201877418630983,100.0,593.4030516851383,86
ampace_jp50_130s2p,69.92221980440365,0.0977856733695328,1.1274016306166008,100.0,1.1274016306166008,100.0,587.3617507623643,92
tenpower_50xg_130s2p,69.9981742708435,0.0977149983155061,1.1269928353624206,100.0,1.1269928353624206,100.0,585.995247150987,93
