candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
tenpower_60xg_135s2p,tenpower_60xg,Tenpower,INR21700-60XG,135,2,270,25.65,248.53515114,5.832,5.71617,19.40625,1307.4540015485031,1349.5083686276182,252.77804546170427,67.04139553005162,0.1204518340681633,0.9545806649714947,100.0
ampace_jp30_135s4p,ampace_jp30,Ampace,JP30P1 (JP30),135,4,540,33.75,256.63515114,5.961600000000001,5.71617,20.1796875,1307.9994524726662,1350.0713640262798,252.45138627557478,67.06936423189946,0.12398743352497166,0.9269733245432088,100.0
molicel_p30b_135s4p,molicel_p30b,Molicel,INR-18650-P30B,135,4,540,31.725,254.61015114,5.832,5.71617,19.6171875,1310.9336981011977,1353.0999899103433,250.69879215162652,67.21982147286677,0.12187746703182868,0.9409105155511013,100.0
tenpower_30xg_130s4p,tenpower_30xg,Tenpower,INR18650-30XG,130,4,520,31.200000000000003,254.08515114,5.616,5.50446,18.84375,1317.3060065302311,1359.6772641718258,246.91956876660092,67.54656983213935,0.11902401293661541,0.9588070277745201,100.0
tenpower_60xg_130s2p,tenpower_60xg,Tenpower,INR21700-60XG,130,2,260,24.7,247.58515114,5.616,5.50446,18.2109375,1317.6256304209385,1360.0071687916532,246.73097223475875,67.56295896066882,0.11594497249186358,0.984030395069487,100.0
ampace_jp30_130s4p,ampace_jp30,Ampace,JP30P1 (JP30),130,4,520,32.5,255.38515114,5.7408,5.50446,18.84375,1318.4354416943456,1360.843027712256,246.2535462092089,67.60448308145692,0.11915291840944461,0.9569492716993209,100.0
molicel_p30b_130s4p,molicel_p30b,Molicel,INR-18650-P30B,130,4,520,30.55,253.43515114,5.616,5.50446,18.3515625,1321.4091707482885,1363.9124070094044,244.50539745527138,67.75696488614639,0.11703548778747543,0.9720700963127529,100.0
tenpower_30xg_125s4p,tenpower_30xg,Tenpower,INR18650-30XG,125,4,500,30.0,252.88515114,5.4,5.29275,17.578125,1328.796418619292,1371.537266324714,240.19656030399702,68.13575557844756,0.11414141480827991,0.9911759801117193,100.0
tenpower_60xg_125s2p,tenpower_60xg,Tenpower,INR21700-60XG,125,2,250,23.75,246.63515114,5.4,5.29275,16.96875,1329.8736466213377,1372.6491434553502,239.57223350125963,68.19099183798376,0.11112080504029558,1.017294532251898,100.0
ampace_jp30_125s4p,ampace_jp30,Ampace,JP30P1 (JP30),125,4,500,31.25,254.13515114,5.52,5.29275,17.53125,1330.3741161878686,1373.1657106672574,239.28252136985776,68.21665406252154,0.11408397802312918,0.9904989656136413,100.0
molicel_p30b_125s4p,molicel_p30b,Molicel,INR-18650-P30B,125,4,500,29.375,252.26015114,5.4,5.29275,17.109375,1333.3739751349626,1376.262060327751,237.55051993144323,68.37047571128953,0.1122202179340232,1.0046837714644787,100.0
