candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,simulation_mode,event_slug,event_name,raw_simulated_time_s,projected_competition_time_s,event_winner_tmin_s,tmax_s,points,maximum_points,solver_converged,solver_iterations,maximum_speed_mps,maximum_achievable_terminal_power_kw,maximum_achievable_wheel_power_kw,active_limiter_at_peak_terminal_power
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.2216305153007,43.905090710455944,43.937,63.70864999999999,125.0,125.0,True,2,32.30320179914189,79.99999983734592,71.3673349080841,terminal_power_limit+motor_voltage
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.2515414336223945,3.6950586101695695,3.697,5.5455000000000005,100.0,100.0,True,2,34.08579084745382,,80.0,common_vehicle_curve
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.798307859449993,4.780127239237399,4.782,5.9775,75.0,75.0,True,1,11.948809373516335,,80.0,common_vehicle_curve
molicel_p50b_140s3p,molicel_p50b,Molicel,INR-21700-P50B,140,3,420,37.275,260.16015114,7.56,7.40985,32.5859375,mass_isolated_common_80kw_curve,autocross,Autocross,52.21416859008002,43.91668336457166,43.937,63.70864999999999,125.0,125.0,True,2,32.79944592935928,,80.0,common_vehicle_curve
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.306060450129884,3.715861656969059,3.697,5.5455000000000005,98.54573037952031,100.0,True,2,31.71505975316684,64.78254141018913,57.61822378955744,bus_current+motor_voltage
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.799389892434655,4.781205172437026,4.782,5.9775,75.0,75.0,True,1,11.946115488218547,64.78254141018913,57.61822378955744,bus_current+motor_voltage
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,pack_aware_full_soc_80kw_terminal,autocross,Autocross,52.268552102525064,43.944539814649666,43.937,63.70864999999999,124.93448668315695,125.0,True,2,31.075123803776826,64.78254141018913,57.61822378955744,bus_current+motor_voltage
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,mass_isolated_common_80kw_curve,acceleration,Acceleration,4.252826585744518,3.696175549164137,3.697,5.5455000000000005,100.0,100.0,True,2,34.071878253542884,,80.0,common_vehicle_curve
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,mass_isolated_common_80kw_curve,skidpad,Skidpad,4.799389892434655,4.781205172437026,4.782,5.9775,75.0,75.0,True,1,11.946115488218547,,80.0,common_vehicle_curve
ampace_jp50_140s3p,ampace_jp50,Ampace,JP50P1 (JP50),140,3,420,37.8,260.68515114,7.518,7.40985,31.3046875,mass_isolated_common_80kw_curve,autocross,Autocross,52.228071626686514,43.928377034564704,43.937,63.70864999999999,125.0,125.0,True,2,32.78643831400157,,80.0,common_vehicle_curve
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,pack_aware_full_soc_80kw_terminal,acceleration,Acceleration,4.312557611493355,3.721468302084534,3.697,5.5455000000000005,98.11628959911,100.0,True,2,31.452466252768822,62.468883451751154,55.544521903548116,bus_current+motor_voltage
ampace_jp50_135s3p,ampace_jp50,Ampace,JP50P1 (JP50),135,3,405,36.45,259.33515114,7.2495,7.1452125,31.875,pack_aware_full_soc_80kw_terminal,skidpad,Skidpad,4.796605003337477,4.7784308351869775,4.782,5.9775,75.0,75.0,True,1,11.953051353638696,62.468883451751154,55.544521903548116,bus_current+motor_voltage
