candidate_id,cell_id,manufacturer,cell_model,series_cells,parallel_cells,total_cells,pack_mass_kg,vehicle_mass_kg,nominal_pack_energy_kwh,model_usable_energy_kwh,endurance_terminal_power_limit_kw,terminal_energy_kwh,terminal_discharge_energy_kwh,terminal_regenerated_energy_kwh,pack_resistive_heat_kwh,regen_pack_resistive_heat_kwh,regen_active_rms_terminal_power_kw,regen_whole_event_rms_terminal_power_kw,regen_active_rms_error_kw,peak_pack_charge_current_a,maximum_terminal_voltage_v,adiabatic_cell_temperature_rise_c,raw_endurance_time_s,projected_endurance_time_s,endurance_points,projected_average_lap_s,projected_terminal_energy_kwh_per_lap,efficiency_factor,efficiency_points
reliance_rs50_120s3p,reliance_rs50,Reliance,INR21700-RS50,120,3,360,30.15,253.03515114,6.48,6.351299999999999,32.1796875,5.504797802866303,6.175440026775015,0.6706422239087113,0.3495166610585459,0.0103948476290659,8.845087945282577,4.287402551458671,0.2708208028726151,24.32280720588237,503.9999881362425,52.16666582963372,1243.6208120719234,1313.7835522188038,274.0786996188789,65.26664436675397,0.13801962729312053,0.8557304026008736,100.0
ampace_jp50_120s3p,ampace_jp50,Ampace,JP50P1 (JP50),120,3,360,32.4,255.28515114,6.444,6.351299999999999,31.9765625,5.501592762372268,6.172291150232617,0.670698387860348,0.3474487521302138,0.0103794699003336,8.833153361932203,4.280608593962203,0.2588862195222408,24.31545278626276,503.9999878699211,48.256771129196366,1246.082774841558,1316.384414283449,272.48893397938195,65.3958509922544,0.13793926857509173,0.8545372175649089,100.0
tenpower_30xg_120s5p,tenpower_30xg,Tenpower,INR18650-30XG,120,5,600,36.0,258.88515114,6.48,6.3513,32.890625,5.58412220062165,6.264382819986517,0.6802606193648674,0.2633600495351231,0.0079599843186623,8.83145095280423,4.312652115991896,0.2571838103942685,24.44773229529829,503.9999903315052,32.92000619189039,1246.1522430737652,1316.4578017822664,272.4441673135258,65.39949676463311,0.14000849667679588,0.8418608193057754,100.0
tenpower_50xg_120s3p,tenpower_50xg,Tenpower,INR21700-50XG,120,3,360,33.75,256.63515114,6.48,6.351299999999999,31.875,5.501279258185263,6.172052083879724,0.670772825694461,0.3465463871604496,0.0103735458957975,8.826912787567062,4.277079660698435,0.2526456451571004,24.31375719813864,503.99998773748086,46.20618495472662,1247.499037696748,1317.8805800171722,271.57725224879465,65.47017808874736,0.13793140820808192,0.8536157197406737,100.0
ampace_jp30_120s5p,ampace_jp30,Ampace,JP30P1 (JP30),120,5,600,37.5,260.38515114,6.624,6.3513,32.890625,5.592185952934414,6.273374971667276,0.681189018732862,0.2640331677110691,0.0079797352859322,8.835848675140618,4.314858957205328,0.2615815327306556,24.460390742753408,503.999990047229,31.683980125328294,1247.3497349175325,1317.7228538568106,271.6732643407947,65.46234250791802,0.14021067596269304,0.8398398377405358,100.0
molicel_p50b_120s3p,molicel_p50b,Molicel,INR-21700-P50B,120,3,360,31.95,254.83515114,6.48,6.351299999999999,29.640625,5.32666950868455,5.963689385650856,0.6370198769663051,0.5221428336938172,0.0150538865684471,8.731418767000747,4.142803027107619,0.1571516245907851,24.021393783010232,503.99998294378406,73.54124418222777,1253.734932280985,1324.4682920099392,267.58756072530366,65.79744497764727,0.13355348672742642,0.8772125498590243,100.0
molicel_p30b_120s5p,molicel_p30b,Molicel,INR-18650-P30B,120,5,600,35.25,258.13515114,6.48,6.3513,30.859375,5.429833905399665,6.087385922690882,0.6575520172912175,0.4260376010556779,0.0124942679702436,8.738671138200278,4.211347344734048,0.164403995790316,24.194669585741487,503.9999855949633,54.38777885817165,1252.0949273929896,1322.7357611400053,268.63297556038003,65.71137564305145,0.1361400870158377,0.8616730573695738,100.0
reliance_rs50_115s3p,reliance_rs50,Reliance,INR21700-RS50,115,3,345,28.893750000000004,251.77890114,6.21,6.086662499999999,29.234375,5.269661133663325,5.910809293922728,0.6411481602594026,0.3205461985243108,0.0103212162253875,8.821622416418355,4.172116666663436,0.2473552740083935,25.324896131335088,482.9999882429205,49.92283429320868,1252.7516960033363,1323.4295833963647,268.2139923391554,65.74584361182991,0.13212413819278654,0.8873983701878043,100.0
ampace_jp50_115s3p,ampace_jp50,Ampace,JP50P1 (JP50),115,3,345,31.05,253.93515114,6.1755,6.086662499999999,29.1328125,5.2724065380323655,5.914045630245093,0.6416390922127269,0.3198860872348479,0.0103283612797046,8.81781801281743,4.169684593701956,0.2435508704074678,25.32811008414384,482.99998820588087,46.36030249780404,1254.9109131663056,1325.710619518341,266.8396183505512,65.85916180119933,0.13219297263527716,0.8854102164601881,100.0
tenpower_30xg_115s5p,tenpower_30xg,Tenpower,INR18650-30XG,115,5,575,34.5,257.38515114,6.21,6.086662499999999,29.84375,5.343916146430643,5.993962353419908,0.6500462069892643,0.2417751378526161,0.0078978636238016,8.823603461684394,4.194794221184064,0.2493363192744322,25.463190381404544,482.9999904140068,31.535887545993404,1255.0619475928356,1325.8701750222917,266.7436596426645,65.86708826086276,0.13398590488319154,0.8734569759100802,100.0
