parameter,parameter_label,parameter_group,metric,metric_display_name,pearson_r,abs_pearson_r,rank_within_metric
track_rear_m,rear track,chassis,mean_ggv_area_g2,mean area,0.2201588403113326,0.2201588403113326,7
lltd,lateral load transfer distribution,chassis balance,max_lateral_g__05mps,lat 5,-0.007997877201983231,0.007997877201983231,20
lltd,lateral load transfer distribution,chassis balance,max_accel_g__05mps,accel 5,0.09029302378000731,0.09029302378000731,13
lltd,lateral load transfer distribution,chassis balance,max_brake_g__05mps,brake 5,0.08831654545690322,0.08831654545690322,11
lltd,lateral load transfer distribution,chassis balance,ggv_area_g2__05mps,area 5,0.14583095848479646,0.14583095848479646,10
lltd,lateral load transfer distribution,chassis balance,max_lateral_g__10mps,lat 10,0.03396282131830406,0.03396282131830406,18
lltd,lateral load transfer distribution,chassis balance,max_accel_g__10mps,accel 10,0.08612912590409917,0.08612912590409917,16
lltd,lateral load transfer distribution,chassis balance,max_brake_g__10mps,brake 10,0.10484977717938329,0.10484977717938329,13
lltd,lateral load transfer distribution,chassis balance,ggv_area_g2__10mps,area 10,0.14421846507665156,0.14421846507665156,10
lltd,lateral load transfer distribution,chassis balance,max_lateral_g__15mps,lat 15,0.023842175676560075,0.023842175676560075,18
lltd,lateral load transfer distribution,chassis balance,max_accel_g__15mps,accel 15,0.03798502889547447,0.03798502889547447,19
lltd,lateral load transfer distribution,chassis balance,max_brake_g__15mps,brake 15,0.1169752009180129,0.1169752009180129,12
lltd,lateral load transfer distribution,chassis balance,ggv_area_g2__15mps,area 15,0.18060412811128082,0.18060412811128082,11
lltd,lateral load transfer distribution,chassis balance,max_lateral_g__20mps,lat 20,0.11738217992886371,0.11738217992886371,12
lltd,lateral load transfer distribution,chassis balance,max_accel_g__20mps,accel 20,-0.005729721737379644,0.005729721737379644,20
lltd,lateral load transfer distribution,chassis balance,max_brake_g__20mps,brake 20,0.147065652633975,0.147065652633975,13
lltd,lateral load transfer distribution,chassis balance,ggv_area_g2__20mps,area 20,0.1951026580883797,0.1951026580883797,8
lltd,lateral load transfer distribution,chassis balance,max_lateral_g__25mps,lat 25,0.1427033272025469,0.1427033272025469,9
lltd,lateral load transfer distribution,chassis balance,max_accel_g__25mps,accel 25,0.009108873576927723,0.009108873576927723,18
lltd,lateral load transfer distribution,chassis balance,max_brake_g__25mps,brake 25,0.14769148189027662,0.14769148189027662,12
lltd,lateral load transfer distribution,chassis balance,ggv_area_g2__25mps,area 25,0.2406748806407409,0.2406748806407409,6
lltd,lateral load transfer distribution,chassis balance,mean_max_lateral_g,mean lat,0.07829852318962814,0.07829852318962814,13
lltd,lateral load transfer distribution,chassis balance,mean_max_accel_g,mean accel,0.05651149811303101,0.05651149811303101,15
lltd,lateral load transfer distribution,chassis balance,mean_max_brake_g,mean brake,0.12666922460870372,0.12666922460870372,12
lltd,lateral load transfer distribution,chassis balance,mean_ggv_area_g2,mean area,0.20340787270342703,0.20340787270342703,8
air_density_kg_m3,air density,environment/aero,max_lateral_g__05mps,lat 5,-0.14260666212876738,0.14260666212876738,7
air_density_kg_m3,air density,environment/aero,max_accel_g__05mps,accel 5,-0.08899848984616637,0.08899848984616637,14
air_density_kg_m3,air density,environment/aero,max_brake_g__05mps,brake 5,0.08675215958832463,0.08675215958832463,12
air_density_kg_m3,air density,environment/aero,ggv_area_g2__05mps,area 5,-0.04216053489281474,0.04216053489281474,18
air_density_kg_m3,air density,environment/aero,max_lateral_g__10mps,lat 10,-0.10909388112918171,0.10909388112918171,13
air_density_kg_m3,air density,environment/aero,max_accel_g__10mps,accel 10,-0.08333971791260786,0.08333971791260786,17
air_density_kg_m3,air density,environment/aero,max_brake_g__10mps,brake 10,0.12426942124334944,0.12426942124334944,11
air_density_kg_m3,air density,environment/aero,ggv_area_g2__10mps,area 10,-0.011340935861368676,0.011340935861368676,19
air_density_kg_m3,air density,environment/aero,max_lateral_g__15mps,lat 15,-0.0855276940951669,0.0855276940951669,12
air_density_kg_m3,air density,environment/aero,max_accel_g__15mps,accel 15,-0.11501177141135602,0.11501177141135602,12
air_density_kg_m3,air density,environment/aero,max_brake_g__15mps,brake 15,0.1675930573952787,0.1675930573952787,10
air_density_kg_m3,air density,environment/aero,ggv_area_g2__15mps,area 15,0.04299846803844739,0.04299846803844739,18
air_density_kg_m3,air density,environment/aero,max_lateral_g__20mps,lat 20,-0.0020700939044036473,0.0020700939044036473,19
air_density_kg_m3,air density,environment/aero,max_accel_g__20mps,accel 20,-0.062238351504083876,0.062238351504083876,14
air_density_kg_m3,air density,environment/aero,max_brake_g__20mps,brake 20,0.21277654416130048,0.21277654416130048,9
air_density_kg_m3,air density,environment/aero,ggv_area_g2__20mps,area 20,0.12112000122719094,0.12112000122719094,18
air_density_kg_m3,air density,environment/aero,max_lateral_g__25mps,lat 25,0.07487270492455365,0.07487270492455365,14
air_density_kg_m3,air density,environment/aero,max_accel_g__25mps,accel 25,-0.09315921718460661,0.09315921718460661,10
air_density_kg_m3,air density,environment/aero,max_brake_g__25mps,brake 25,0.2545481276459714,0.2545481276459714,7
air_density_kg_m3,air density,environment/aero,ggv_area_g2__25mps,area 25,0.1677217593313987,0.1677217593313987,11
