case_id,parameter,level,value,max_lateral_g__05mps,max_accel_g__05mps,max_brake_g__05mps,ggv_area_g2__05mps,max_lateral_g__10mps,max_accel_g__10mps,max_brake_g__10mps,ggv_area_g2__10mps,max_lateral_g__15mps,max_accel_g__15mps,max_brake_g__15mps,ggv_area_g2__15mps,max_lateral_g__20mps,max_accel_g__20mps,max_brake_g__20mps,ggv_area_g2__20mps,max_lateral_g__25mps,max_accel_g__25mps,max_brake_g__25mps,ggv_area_g2__25mps,mean_max_lateral_g,mean_max_accel_g,mean_max_brake_g,mean_ggv_area_g2
cd_a_m2_high,cd_a_m2,high,1.582992979591837,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.207600000000001,1.76,1.365,1.9000000000000001,7.967466666666667,1.9200000000000002,1.295,2.08,8.991866666666667,2.08,0.9974999999999999,2.3000000000000003,9.824266666666666,1.8026666666666666,1.302,1.9440000000000002,8.148293333333333
aero_balance_front_low,aero_balance_front,low,0.42,1.6,1.4349999999999998,1.6800000000000002,6.749733333333333,1.6533333333333335,1.4175,1.7800000000000002,7.218400000000001,1.76,1.3825,1.9200000000000002,7.953733333333334,1.9200000000000002,1.33,2.12,9.116533333333335,2.08,1.0675000000000001,2.3600000000000003,10.016266666666668,1.8026666666666666,1.3265,1.9720000000000002,8.210933333333333
aero_balance_front_high,aero_balance_front,high,0.58,1.6,1.4349999999999998,1.6800000000000002,6.745066666666666,1.6533333333333335,1.4175,1.74,7.1812000000000005,1.76,1.3825,1.8600000000000003,7.930933333333335,1.9200000000000002,1.33,2.0000000000000004,8.970266666666669,2.026666666666667,1.0675000000000001,2.2,9.736933333333337,1.7920000000000003,1.3265,1.8960000000000001,8.11288
max_drive_power_w_low,max_drive_power_w,low,60000.0,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.0499999999999998,2.06,8.358533333333334,2.08,0.7525,2.28,8.995200000000002,1.8026666666666666,1.2075,1.932,7.854240000000002
max_drive_power_w_high,max_drive_power_w,high,100000.0,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.33,2.06,9.0212,2.08,1.2775,2.28,10.529600000000002,1.8026666666666666,1.3685,1.932,8.293653333333335
max_drive_force_n_low,max_drive_force_n,low,2800.0,1.6,1.085,1.6800000000000002,6.171600000000001,1.6533333333333335,1.0499999999999998,1.76,6.537866666666667,1.76,1.0150000000000001,1.8800000000000001,7.206933333333334,1.9200000000000002,0.98,2.06,8.179333333333332,2.08,0.9099999999999999,2.28,9.485200000000003,1.8026666666666666,1.008,1.932,7.516186666666667
max_drive_force_n_high,max_drive_force_n,high,5000.0,1.6,1.8550000000000002,1.6800000000000002,7.2001333333333335,1.6533333333333335,1.8550000000000002,1.76,7.723200000000001,1.76,1.8550000000000002,1.8800000000000001,8.614400000000002,1.9200000000000002,1.4349999999999998,2.06,9.247066666666665,2.08,1.0675000000000001,2.28,9.950933333333335,1.8026666666666666,1.6135000000000002,1.932,8.547146666666668
drive_distribution_front_low,drive_distribution_front,low,0.0,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.33,2.06,9.0212,2.08,1.0675000000000001,2.28,9.950933333333335,1.8026666666666666,1.3265,1.932,8.17792
drive_distribution_front_high,drive_distribution_front,high,0.5,1.6,1.3825,1.6800000000000002,6.170666666666667,1.6533333333333335,1.4175,1.76,6.667600000000001,1.76,1.3825,1.8800000000000001,7.500000000000001,1.9200000000000002,1.33,2.06,8.627333333333334,2.08,1.0675000000000001,2.28,9.745600000000001,1.8026666666666666,1.316,1.932,7.742240000000001
max_brake_force_n_low,max_brake_force_n,low,9000.0,1.6,1.4349999999999998,1.6800000000000002,6.750266666666667,1.6533333333333335,1.4175,1.76,7.203333333333334,1.76,1.3825,1.8800000000000001,7.963866666666668,1.9200000000000002,1.33,2.06,9.0212,2.08,1.0675000000000001,2.28,9.950933333333335,1.8026666666666666,1.3265,1.932,8.17792
