speed_mps,ay_mps2,ax_accel_mps2,ax_brake_mps2,accel_feasible,brake_feasible
5.000000000000000000e+00,-8.891362666666665859e+00,1.098344799999999921e+01,-1.098344799999999921e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-8.368341333333333409e+00,1.184152987499999909e+01,-1.137571399999999855e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-7.845320000000000071e+00,1.287122812499999824e+01,-1.196411300000000111e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-7.322298666666666733e+00,1.372930999999999813e+01,-1.235637900000000045e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-6.799277333333333395e+00,1.407254274999999843e+01,-1.274864499999999978e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-6.276256000000000057e+00,1.407254274999999843e+01,-1.314091099999999912e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-5.753234666666666719e+00,1.407254274999999843e+01,-1.353317699999999846e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-5.230213333333333381e+00,1.407254274999999843e+01,-1.392544300000000135e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-4.707192000000000043e+00,1.407254274999999843e+01,-1.431770900000000069e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-4.184170666666666705e+00,1.407254274999999843e+01,-1.451384200000000035e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-3.661149333333333367e+00,1.407254274999999843e+01,-1.490610799999999969e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-3.138128000000000029e+00,1.407254274999999843e+01,-1.510224099999999936e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-2.615106666666666690e+00,1.407254274999999843e+01,-1.549450700000000047e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-2.092085333333333352e+00,1.407254274999999843e+01,-1.569064000000000014e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.569064000000000014e+00,1.407254274999999843e+01,-1.588677299999999981e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-1.046042666666666676e+00,1.407254274999999843e+01,-1.608290600000000126e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,-5.230213333333333381e-01,1.407254274999999843e+01,-1.627903900000000093e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,1.407254274999999843e+01,-1.647517200000000059e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.230213333333333381e-01,1.407254274999999843e+01,-1.627903900000000093e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.046042666666666676e+00,1.407254274999999843e+01,-1.608290600000000126e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.569064000000000014e+00,1.407254274999999843e+01,-1.588677299999999981e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.092085333333333352e+00,1.407254274999999843e+01,-1.569064000000000014e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,2.615106666666666690e+00,1.407254274999999843e+01,-1.549450700000000047e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,3.138128000000000029e+00,1.407254274999999843e+01,-1.510224099999999936e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,3.661149333333333367e+00,1.407254274999999843e+01,-1.490610799999999969e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.184170666666666705e+00,1.407254274999999843e+01,-1.451384200000000035e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,4.707192000000000043e+00,1.407254274999999843e+01,-1.431770900000000069e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.230213333333333381e+00,1.407254274999999843e+01,-1.392544300000000135e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,5.753234666666666719e+00,1.407254274999999843e+01,-1.353317699999999846e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.276256000000000057e+00,1.407254274999999843e+01,-1.314091099999999912e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,6.799277333333333395e+00,1.407254274999999843e+01,-1.274864499999999978e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.322298666666666733e+00,1.372930999999999813e+01,-1.235637900000000045e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,7.845320000000000071e+00,1.287122812499999824e+01,-1.196411300000000111e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.368341333333333409e+00,1.184152987499999909e+01,-1.137571399999999855e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,8.891362666666665859e+00,1.098344799999999921e+01,-1.098344799999999921e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.414384000000000086e+00,9.953749750000000063e+00,-1.039504900000000021e+01,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,9.937405333333334312e+00,8.924051499999999137e+00,-9.806650000000001199e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.046042666666666676e+01,8.065969624999999255e+00,-9.218250999999998641e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.098344799999999921e+01,7.036271374999999217e+00,-8.629851999999999634e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.150646933333333344e+01,6.178189499999999335e+00,-8.041453000000000628e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.202949066666666766e+01,5.148491249999999297e+00,-7.453054000000001622e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.255251200000000011e+01,4.118793000000000148e+00,-6.864654999999999063e+00,1.000000000000000000e+00,1.000000000000000000e+00
