parameter,parameter_label,parameter_group,parameter_unit,metric,metric_display_name,parameter_low,parameter_baseline,parameter_high,response_low,response_baseline,response_high,signed_response_span,slope_per_unit,signed_effect_pct_span,abs_effect_pct_span,low_delta_from_baseline_pct,high_delta_from_baseline_pct,direction,rank_within_metric
cd_a_m2,drag area,aero,m^2,max_brake_g__25mps,brake 25,0.8208111746031745,1.1725873922902494,1.582992979591837,2.2600000000000002,2.28,2.3000000000000003,0.040000000000000036,0.052480916938964506,1.7543859649122824,1.7543859649122824,-0.8771929824561218,0.8771929824561607,increases_with_parameter,11
cd_a_m2,drag area,aero,m^2,ggv_area_g2__25mps,area 25,0.8208111746031745,1.1725873922902494,1.582992979591837,10.019333333333336,9.950933333333335,9.824266666666666,-0.19506666666666916,-0.2559319382723533,-1.9602851323829167,1.9602851323829167,0.687372708757642,-1.272912423625275,decreases_with_parameter,19
cd_a_m2,drag area,aero,m^2,mean_max_lateral_g,mean lat,0.8208111746031745,1.1725873922902494,1.582992979591837,1.8026666666666666,1.8026666666666666,1.8026666666666666,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
cd_a_m2,drag area,aero,m^2,mean_max_accel_g,mean accel,0.8208111746031745,1.1725873922902494,1.582992979591837,1.3545,1.3265,1.302,-0.05249999999999999,-0.06888120348239084,-3.9577836411609493,3.9577836411609493,2.1108179419525084,-1.8469656992084407,decreases_with_parameter,4
cd_a_m2,drag area,aero,m^2,mean_max_brake_g,mean brake,0.8208111746031745,1.1725873922902494,1.582992979591837,1.9240000000000002,1.932,1.9440000000000002,0.020000000000000018,0.026240458469482253,1.0351966873706013,1.0351966873706013,-0.41407867494822903,0.6211180124223723,increases_with_parameter,11
cd_a_m2,drag area,aero,m^2,mean_ggv_area_g2,mean area,0.8208111746031745,1.1725873922902494,1.582992979591837,8.210453333333335,8.17792,8.148293333333333,-0.062160000000002213,-0.08155534492315368,-0.760095476600434,0.760095476600434,0.3978191683623107,-0.3622763082381233,decreases_with_parameter,19
aero_balance_front,front aero balance,aero balance,front fraction,max_lateral_g__05mps,lat 5,0.42,0.5,0.58,1.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_accel_g__05mps,accel 5,0.42,0.5,0.58,1.4349999999999998,1.4349999999999998,1.4349999999999998,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_brake_g__05mps,brake 5,0.42,0.5,0.58,1.6800000000000002,1.6800000000000002,1.6800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,flat,14
aero_balance_front,front aero balance,aero balance,front fraction,ggv_area_g2__05mps,area 5,0.42,0.5,0.58,6.749733333333333,6.750266666666667,6.745066666666666,-0.004666666666667041,-0.02916666666666901,-0.0691330712860782,0.0691330712860782,-0.007900922432693146,-0.07703399371877134,decreases_with_parameter,17
aero_balance_front,front aero balance,aero balance,front fraction,max_lateral_g__10mps,lat 10,0.42,0.5,0.58,1.6533333333333335,1.6533333333333335,1.6533333333333335,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_accel_g__10mps,accel 10,0.42,0.5,0.58,1.4175,1.4175,1.4175,0.0,0.0,0.0,0.0,0.0,0.0,flat,12
aero_balance_front,front aero balance,aero balance,front fraction,max_brake_g__10mps,brake 10,0.42,0.5,0.58,1.7800000000000002,1.76,1.74,-0.04000000000000026,-0.25000000000000167,-2.272727272727287,2.272727272727287,1.13636363636365,-1.1363636363636374,decreases_with_parameter,9
aero_balance_front,front aero balance,aero balance,front fraction,ggv_area_g2__10mps,area 10,0.42,0.5,0.58,7.218400000000001,7.203333333333334,7.1812000000000005,-0.037200000000000344,-0.23250000000000218,-0.5164275798241602,0.5164275798241602,0.20916242480333339,-0.3072651550208268,decreases_with_parameter,17
aero_balance_front,front aero balance,aero balance,front fraction,max_lateral_g__15mps,lat 15,0.42,0.5,0.58,1.76,1.76,1.76,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_accel_g__15mps,accel 15,0.42,0.5,0.58,1.3825,1.3825,1.3825,0.0,0.0,0.0,0.0,0.0,0.0,flat,12
aero_balance_front,front aero balance,aero balance,front fraction,max_brake_g__15mps,brake 15,0.42,0.5,0.58,1.9200000000000002,1.8800000000000001,1.8600000000000003,-0.05999999999999983,-0.374999999999999,-3.1914893617021183,3.1914893617021183,2.127659574468087,-1.0638297872340317,decreases_with_parameter,9
aero_balance_front,front aero balance,aero balance,front fraction,ggv_area_g2__15mps,area 15,0.42,0.5,0.58,7.953733333333334,7.963866666666668,7.930933333333335,-0.022799999999999265,-0.14249999999999544,-0.28629309045856194,0.28629309045856194,-0.12724137353715104,-0.413534463995713,decreases_with_parameter,17
aero_balance_front,front aero balance,aero balance,front fraction,max_lateral_g__20mps,lat 20,0.42,0.5,0.58,1.9200000000000002,1.9200000000000002,1.9200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_accel_g__20mps,accel 20,0.42,0.5,0.58,1.33,1.33,1.33,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_brake_g__20mps,brake 20,0.42,0.5,0.58,2.12,2.06,2.0000000000000004,-0.11999999999999966,-0.749999999999998,-5.825242718446585,5.825242718446585,2.9126213592233037,-2.912621359223282,decreases_with_parameter,7
aero_balance_front,front aero balance,aero balance,front fraction,ggv_area_g2__20mps,area 20,0.42,0.5,0.58,9.116533333333335,9.0212,8.970266666666669,-0.14626666666666566,-0.9141666666666605,-1.6213659675726695,1.6213659675726695,1.0567699788646119,-0.5645959887080574,decreases_with_parameter,17
aero_balance_front,front aero balance,aero balance,front fraction,max_lateral_g__25mps,lat 25,0.42,0.5,0.58,2.08,2.08,2.026666666666667,-0.05333333333333323,-0.33333333333333276,-2.564102564102559,2.564102564102559,0.0,-2.564102564102559,decreases_with_parameter,8
aero_balance_front,front aero balance,aero balance,front fraction,max_accel_g__25mps,accel 25,0.42,0.5,0.58,1.0675000000000001,1.0675000000000001,1.0675000000000001,0.0,0.0,0.0,0.0,0.0,0.0,flat,13
aero_balance_front,front aero balance,aero balance,front fraction,max_brake_g__25mps,brake 25,0.42,0.5,0.58,2.3600000000000003,2.28,2.2,-0.16000000000000014,-1.000000000000001,-7.0175438596491295,7.0175438596491295,3.5087719298245843,-3.508771929824545,decreases_with_parameter,6
