stage,variant_id,maneuver,speed_m_per_s,ax_g,dz_front_mm,dz_rear_mm,rh_front_m,rh_rear_m,downforce_n,aero_front_fraction,fz_front_n,fz_rear_n,sigma_fz_front_n,sigma_fz_rear_n,grip_n,rh_clamped,weight
anti-dive,front03_ad+35,braking,10.0,1.4,-12.254944373107366,13.995007276867977,0.056929735572104234,0.09604309222181628,148.81372609415382,0.49915967816096657,979.5044751626051,375.0264450355128,10.947573390702688,3.6945864484163855,6619.6733699709,False,0.08333333333333333
anti-dive,front03_ad+35,braking,15.0,0.5,-4.376765847538344,4.998216884595706,0.06240169678151362,0.08491699310912916,330.7345376013396,0.5038412077402976,817.7642028683837,627.7271230833271,3.9098476395366744,1.319495160148709,7276.11227597847,False,0.08333333333333333
anti-dive,front03_ad+35,braking,15.0,1.0,-8.753531695076688,9.996433769191412,0.057974422625120946,0.08985425246011103,335.2372085302088,0.5028567946972864,934.2436296830338,513.4990317331116,7.819695279073349,2.638990320297418,7150.144241299991,False,0.08333333333333333
anti-dive,front03_ad+35,braking,15.0,1.4,-12.254944373107366,13.995007276867977,0.05448350698177412,0.09381948884905231,336.23656578684006,0.5001639503250989,1026.4502738449046,421.7920661995565,10.947573390702688,3.6945864484163855,6972.3158578053,False,0.08333333333333333
anti-dive,front03_ad+35,braking,20.0,0.5,-4.376765847538344,4.998216884595706,0.059007860937892745,0.08187652401792408,588.8883680677882,0.5041711449065464,882.8956198105819,691.6726213743531,3.9098476395366744,1.319495160148709,7734.991240945963,False,0.08333333333333333
anti-dive,front03_ad+35,braking,20.0,1.0,-8.753531695076688,9.996433769191412,0.05442755883010231,0.08673091293147638,602.7503582983269,0.5055371347133515,1002.3118201514415,579.1874161487628,7.819695279073349,2.638990320297418,7623.024621068638,False,0.08333333333333333
anti-dive,front03_ad+35,braking,20.0,1.4,-12.254944373107366,13.995007276867977,0.05140889833228874,0.0907369636725647,583.9067612831057,0.4901186717614287,1085.4553724873558,486.62206530523804,10.947573390702688,3.6945864484163855,7419.616042057656,False,0.08333333333333333
anti-dive,front03_ad+35,braking,25.0,0.5,-4.376765847538344,4.998216884595706,0.05480715326118463,0.07800968469526698,912.7712439367161,0.5019142126800126,963.511788563866,772.997890555533,3.9098476395366744,1.319495160148709,8266.63635654537,False,0.08333333333333333
anti-dive,front03_ad+35,braking,25.0,1.0,-8.753531695076688,9.996433769191412,0.05064100811212878,0.082816984862929,912.7176763934492,0.4930865155695415,1074.9798649864374,661.503030361328,7.819695279073349,2.638990320297418,8138.246438421969,False,0.08333333333333333
anti-dive,front03_ad+35,braking,25.0,1.4,-12.254944373107366,13.995007276867977,0.048051072760418076,0.08683696533097675,876.8327462653248,0.4733676856492175,1149.8957132515911,568.6447170321121,10.947573390702688,3.6945864484163855,7922.819597450427,False,0.08333333333333333
anti-dive,front04_ad+53,braking,10.0,0.5,-3.513682001342761,4.998216884595706,0.0656974334249381,0.08709271588801756,145.84676392495774,0.5023571187745921,771.0789384891096,581.9685006244101,5.964755965309205,1.319495160148709,6927.958164849717,False,0.08333333333333333
anti-dive,front04_ad+53,braking,10.0,1.0,-7.027364002685522,9.996433769191412,0.06215926016303227,0.09206503894739321,147.87596181393266,0.5018204939090859,887.0590697080248,467.00296834998244,11.92951193061841,2.638990320297418,6797.720495664173,False,0.08333333333333333
anti-dive,front04_ad+53,braking,10.0,1.4,-9.83830960375973,13.995007276867977,0.05934680567456409,0.09604834594711793,148.57603004858697,0.4998457864454166,979.496120644346,374.9159515309885,16.70131670286577,3.6945864484163855,6618.794777826357,False,0.08333333333333333
anti-dive,front04_ad+53,braking,15.0,0.5,-3.513682001342761,4.998216884595706,0.0632808065907387,0.08492595556409457,329.74243913639424,0.5034916883277039,817.4566471321789,627.5386295870592,5.964755965309205,1.319495160148709,7274.290366465835,False,0.08333333333333333
anti-dive,front04_ad+53,braking,15.0,1.0,-7.027364002685522,9.996433769191412,0.059718653457363394,0.08986793736815454,333.96827858581497,0.5026914713680537,933.8969782869301,513.2112181570183,11.92951193061841,2.638990320297418,7147.703507801624,False,0.08333333333333333
anti-dive,front04_ad+53,braking,15.0,1.4,-9.83830960375973,13.995007276867977,0.056909877009116205,0.09383393356357492,335.25531848678827,0.50051330808451,1026.2634436054332,421.4882727890018,16.70131670286577,3.6945864484163855,6970.074479726854,False,0.08333333333333333
anti-dive,front04_ad+53,braking,20.0,0.5,-3.513682001342761,4.998216884595706,0.0598987599877028,0.08189262519809956,587.1434971942732,0.5038511298920697,882.3618156701976,691.3339900779799,5.964755965309205,1.319495160148709,7732.02562856748,False,0.08333333333333333
anti-dive,front04_ad+53,braking,20.0,1.0,-7.027364002685522,9.996433769191412,0.05620261343412665,0.08676039298951428,599.6339546100739,0.5050352807392354,1001.3736269142887,578.5674075417892,11.92951193061841,2.638990320297418,7617.791331305193,False,0.08333333333333333
anti-dive,front04_ad+53,braking,20.0,1.4,-9.83830960375973,13.995007276867977,0.05341017331498298,0.09070576548251791,601.1614636946172,0.5025705074037277,1093.4265802713446,487.27820872700477,16.70131670286577,3.6945864484163855,7440.53093814822,False,0.08333333333333333
